호선,역명,위도,경도,운행구간,설치위치
1,가산디지털단지,37.481519,126.882314,2F-1F,7번 출구
1,동대문,37.571199,127.010493,1F-B1,6번 출구
1,동대문,37.57124,127.009045,B1-B2,상행 10-4
1,동대문,37.57124,127.009045,B1-B2,하행 2-1
1,동묘앞,37.573448,127.015831,1F-B2,10번 출구
1,동묘앞,37.573644,127.017414,1F-B1,2번 출구
1,동묘앞,37.573282,127.017272,1F-B1,3번 출구
1,동묘앞,37.573205,127.016456,4F-B1,본관건물(상)6-2
1,동묘앞,37.573205,127.016456,B1-B2,상행 10-3
1,동묘앞,37.573205,127.016456,B1-B2,상행 4-8
1,동묘앞,37.573205,127.016456,B1-B2,하행 1-2
1,동묘앞,37.573205,127.016456,B1-B2,하행 7-3
1,서울,37.554927,126.971598,1F-B1,1번 출구
1,서울,37.556289,126.972024,1F-B1,2번 출구
1,서울,37.557674,126.972859,1F-B1,3번 출구
1,서울,37.557395,126.973109,1F-B1,4번 출구
1,서울,37.556247,126.972129,B1-B2,섬식(상) 5-1
1,시청,37.565698,126.976855,1F-B1,2번 출구
1,시청,37.564164,126.976821,B1-B2,상행 3-2
1,시청,37.564164,126.976821,B1-B2,하행 8-3
1,신도림,37.507786,126.891396,1F-B1,3번 출구
1,신설동,37.576394,127.025324,1F-B1,3번 출구
1,신설동,37.576169,127.025412,1F-B1,4번 출구
1,신설동,37.57566,127.023451,B1-B2,상행 3-4
1,신설동,37.57566,127.023451,B1-B2,하행 8-1
1,제기동,37.578255,127.033468,1F-B1,1번 출구
1,제기동,37.578144,127.034902,B1-B2,상행 9-4
1,제기동,37.578144,127.034902,B1-B2,하행 2-1
1,종각,37.570291,126.983897,1F-B1,3번 출구
1,종각,37.570259,126.983115,B1-B2,상행 6-4
1,종각,37.570259,126.983115,B1-B2,하행 4-4
1,종로3가,37.57029,126.992832,1F-B1,12번 출구
1,종로3가,37.570422,126.992108,B1-B2,상행 4-4
1,종로3가,37.570422,126.992108,B1-B2,하행 6-4
1,종로5가,37.570786,127.001607,1F-B1,8번 출구
1,종로5가,37.571029,127.001934,B1-B2,상행 8-3
1,종로5가,37.571029,127.001934,B1-B2,하행 3-2
1,청량리,37.579371,127.043107,1F-B2,6번 출구
2,강남,37.498601,127.027024,1F-B1,10번 출구
2,강남,37.498073,127.028775,1F-B1,1번 출구
2,강남,37.497899,127.027625,B1-B2,내선 3-4
2,강남,37.497899,127.027625,B1-B2,외선 8-1
2,강변,37.535203,127.094669,2F-1F,내선 7-3
2,강변,37.535203,127.094669,2F-1F,외선 4-2
2,건대입구,37.540763,127.068713,2F-1F,1번 출구
2,건대입구,37.540541,127.068297,2F-1F,6번 출구
2,교대,37.49371,127.01436,1F-B1,5번 출구
2,교대,37.493669,127.013673,B1-B2,내선 3-1
2,교대,37.493669,127.013673,B1-B2,외선 8-4
2,구로디지털단지,37.48507,126.902758,3F-1F,6번 출구
2,구로디지털단지,37.485326,126.901487,3F-2F,내선 7-4
2,구로디지털단지,37.485326,126.901487,2F-1F,외선 3-4
2,구의,37.537457,127.08713,3F-1F,2번 출구
2,구의,37.537111,127.085936,3F-1F,섬식(외)4-3
2,낙성대,37.477269,126.96345,1F-B1,6번 출구
2,낙성대,37.477186,126.963399,B1-B2,내선 3-3
2,낙성대,37.477186,126.963399,B1-B2,외선 8-2
2,당산,37.535151,126.903116,2F-1F,4번 출구
2,당산,37.5341,126.901971,3F-2F,내선 3-2
2,당산,37.5341,126.901971,3F-2F,외선 8-3
2,대림,37.492848,126.895536,2F-1F,7번 출구
2,대림,37.493125,126.895789,3F-2F,내선 8-3
2,대림,37.493125,126.895789,3F-2F,외선 3-2
2,도림천,37.514288,126.882866,B1-B3,1번 출구
2,도림천,37.514525,126.882645,B2-B3,섬식(지) 4-4
2,동대문역사문화공원,37.565733,127.00916,1F-B1,1번 출구
2,동대문역사문화공원,37.565631,127.009042,B1-B2,내선 3-2
2,동대문역사문화공원,37.565631,127.009042,B1-B2,외선 8-3
2,뚝섬,37.547093,127.048185,2F-1F,3번 출구
2,뚝섬,37.547286,127.04732,3F-2F,내선 7-1
2,뚝섬,37.547286,127.04732,3F-2F,외선 7-1
2,문래,37.517288,126.895149,1F-B1,5번 출구
2,문래,37.517898,126.894768,B1-B2,내선 4-1
2,문래,37.517898,126.894768,B1-B2,외선 7-4
2,방배,37.481655,126.997274,1F-B1,3번 출구
2,방배,37.481575,126.997648,B1-B2,내선 3-1
2,방배,37.481575,126.997648,B1-B2,외선 8-3
2,봉천,37.482879,126.940864,1F-B1,4번 출구
2,봉천,37.482519,126.941571,B1-B2,섬식(외)6-3
2,사당,37.476659,126.982419,1F-B1,14번 출구
2,사당,37.476076,126.981225,1F-B1,5번 출구
2,사당,37.476532,126.981621,B1-B2,섬식(외)4-4
2,삼성,37.508797,127.064072,1F-B1,1번 출구
2,삼성,37.50935,127.063739,1F-B1,8번 출구
2,삼성,37.509125,127.063213,B1-B2,섬식(외) 3-1
2,상왕십리,37.564284,127.030213,1F-B1,2번 출구
2,상왕십리,37.564548,127.02887,B1-B2,내선 3-4
2,상왕십리,37.564548,127.02887,B1-B2,외선 8-1
2,서울대입구,37.48079,126.952845,1F-B1,2번 출구
2,서울대입구,37.481625,126.952654,1F-B1,6번 출구
2,서울대입구,37.481256,126.952714,B1-B2,섬식(외)6-3
2,서초,37.491817,127.008191,1F-B1,1번 출구
