호선,역명,위도,경도,운행구간,설치위치
1,서울,37.556247,126.972129,B1-B2,내부 C 계단
1,신설동,37.575953,127.023552,F1-B1,1번 출구
1,신설동,37.575479,127.023775,F1-B1,6번 출구
1,신설동,37.57566,127.023451,B1-B2,상선승강장 시점측
1,신설동,37.57566,127.023451,B1-B2,하선승강장 시점측
1,신설동,37.57566,127.023451,B1,대합실 연결통로
1,청량리,37.580106,127.045046,B1,제기동측 승강장
1,청량리,37.580106,127.045046,B1,섬식(상) 8-2
2,삼성,37.509125,127.063213,B1,COEX 연결계단
2,신설동,37.575007,127.024165,F1-B1,10번 출구
2,신설동,37.574656,127.02512,B1-B2,외선승강장 시점측 (상선)
2,신설동,37.574656,127.02512,B1-B2,내선승강장 시점측 (하선)
2,신설동,37.574656,127.02512,B1-B2,용두방향 승강장
2,신설동,37.574656,127.02512,B1,환승통로 2호선측
2,신설동,37.574656,127.02512,B1,환승통로 1호선측
2,신정네거리,37.520326,126.852776,B2-B3,2번 계단
2,용답,37.561928,127.050949,F1-F2,성수측 승강장
2,용답,37.561928,127.050949,F1-F2,섬식(상) 1-4
2,잠실,37.513598,127.101345,B1,상가측 연결계단
2,한양대,37.555592,127.043688,F1-F2,섬식(외) 8-2
3,고속터미널,37.503701,127.0055,B1-B2,대합실 중앙
3,교대,37.493044,127.013785,B1,"2, 3호선 연결계단"
4,동대문,37.57124,127.009045,B1,"1, 4호선 환승통로"
4,명동,37.560946,126.986404,B2-B3,승강장
4,명동,37.560946,126.986404,B1-B2,대합실
4,상계,37.660876,127.073565,F3-F2,상행 3-1
4,상계,37.660876,127.073565,F3-F2,하행 8-3
4,서울,37.553165,126.97263,B1-F1,9-1번 출구 교통섬
5,강동,37.535806,127.132483,B3-B4,내부
5,강동,37.535806,127.132483,B1-B3,내부
5,광나루,37.545282,127.103475,B1-B2,내부
5,광화문,37.571609,126.976578,B3-B4,내부
5,광화문,37.571609,126.976578,B2-B3,내부
5,까치산,37.532073,126.846489,B4-B5,내부
5,까치산,37.532073,126.846489,F1-B1,외부
5,답십리,37.566826,127.052652,B1-B1,내부
5,동대문역사문화공원,37.564671,127.005331,B4-B5,내부
5,동대문역사문화공원,37.564671,127.005331,F1-B1,외부
5,마장,37.566072,127.042927,B1-B2,내부
5,마장,37.566072,127.042927,F1-B1,외부
5,마천,37.494983,127.152809,B1-B2,내부
5,마천,37.494983,127.152809,F1-B1,외부
5,상일동,37.556703,127.166328,B1-B2,내부
5,상일동,37.556703,127.166328,F1-B1,외부
5,서대문,37.565644,126.9665,B1-B1,내부
5,신길,37.517629,126.914913,B3-B4,내부
5,신길,37.517629,126.914913,B1-B3,내부
5,영등포구청,37.524222,126.895033,B4-B5,내부
5,영등포구청,37.524222,126.895033,B2-B4,내부
5,장한평,37.561432,127.064611,B1-B2,내부
5,종로3가,37.570422,126.992108,B4-B5,내부
6,공덕,37.543873,126.950982,B1-B2,내부
6,광흥창,37.547454,126.932009,B2-B3,내부
6,구산,37.611239,126.917245,B2-B3,내부
6,대흥,37.547671,126.942311,F1-B1,외부
6,동묘앞,37.572288,127.015662,B1-B2,내부
6,동묘앞,37.572288,127.015662,F1-B1,외부
6,디지털미디어시티,37.576518,126.901865,B2-B3,내부
6,디지털미디어시티,37.576518,126.901865,B3-B3,내부
6,디지털미디어시티,37.576518,126.901865,F1-B2,외부
6,마포구청,37.56353,126.903325,B2-B3,내부
6,마포구청,37.56353,126.903325,B1-B2,내부
6,마포구청,37.56353,126.903325,F1-B1,외부
6,봉화산,37.617303,127.091362,B1-B2,내부
6,불광,37.610906,126.92948,B1-B2,내부
6,삼각지,37.535567,126.974,B1-B4,내부
6,삼각지,37.535567,126.974,F1-B1,내부
6,상수,37.547712,126.922956,B1-B2,내부
6,상수,37.547712,126.922956,F1-B1,외부
6,상월곡,37.606578,127.048864,B2-B3,내부
6,새절,37.59115,126.913621,B1-B2,내부
6,석계,37.614958,127.066013,B2-B3,내부
6,신당,37.566188,127.01616,BM1-B1,내부
6,신당,37.566188,127.01616,B1-B2,내부
6,신당,37.566188,127.01616,F1-B1,외부
6,월곡,37.601914,127.041495,B1-B2,내부
6,합정,37.549141,126.913432,B2-B3,내부
6,효창공원앞,37.539258,126.961361,F1-B1,외부
7,가산디지털단지,37.48048,126.883073,B1,내부
7,가산디지털단지,37.48048,126.883073,BM1-B1,내부
7,가산디지털단지,37.48048,126.883073,F2-B1,내부
7,강남구청,37.517184,127.041276,B1-B2,내부
7,건대입구,37.54078,127.071039,B1-B2,내부
7,건대입구,37.54078,127.071039,F2-B1,외부
7,건대입구,37.54078,127.071039,F1-B1,외부
7,고속터미널,37.503701,127.0055,B1-B3,내부
7,고속터미널,37.503701,127.0055,B2-B3,내부
7,고속터미널,37.503701,127.0055,FM1-B1,내부
7,광명사거리,37.479276,126.854785,B2-B3,내부
7,남구로,37.486077,126.88728,B5-B4,내부
7,남구로,37.486077,126.88728,B4-B2,내부
7,남구로,37.486077,126.88728,BM1-B1,내부
7,남구로,37.486077,126.88728,F1-BM1,외부
7,남구로,37.486077,126.88728,B1-B2,내부
7,남구로,37.486077,126.88728,BM1-B1,내부
7,남구로,37.486077,126.88728,F1-B1,외부
7,논현,37.511091,127.021349,B1-B2,내부
7,대림,37.492264,126.895837,F2-B2,내부
7,마들,37.664894,127.057719,B1-B2,내부
7,반포,37.508145,127.011671,B1-B2,내부
7,수락산,37.677759,127.055317,B2-B3,내부
7,온수,37.4921,126.822981,B1-B2,내부
7,온수,37.4921,126.822981,F1-B1,외부
7,이수,37.485372,126.982158,B2-B3,내부
7,이수,37.485372,126.982158,B1-B2,내부
7,이수,37.485372,126.982158,F1-B1,외부
7,청담,37.519074,127.051814,B3-B4,내부
8,남한산성입구,37.45155,127.159836,B1-B2,내부
8,남한산성입구,37.45155,127.159836,F1-B1,외부
8,모란,37.433658,127.12888,B2-B3,내부
8,복정,37.470387,127.126681,F1-B1,외부
