도로명주소,위도,경도,설치장소,동시사용가능대수,관리기관명,관리기관전화번호
서울특별시 강남구 강남대로 128길 59,37.51206587,127.0260872,논현노인종합복지관 1층 주차장 내부,2,논현노인종합복지관,02-541-0226
서울특별시 강남구 개포로 310-17,37.481904,127.057472,개포1동 주민센터 민원실,2,개포1동 주민센터,02-3423-7691
서울특별시 강남구 개포로 511,37.4897829,127.0690748,개포2동 문화센터 1층,2,개포2동 주민센터,02-3423-7762
서울특별시 강남구 개포로 605,37.491954,127.0734687,강남장애인복지관 5층,2,강남장애인복지관,02-445-8006
서울특별시 강남구 개포로 607,37.492113,127.073677,일원2동 주민센터 민원실,2,일원2동 주민센터,02-3423-8462
서울특별시 강남구 개포로 613,37.4925543,127.0751338,하상장애인복지관 1층 외부,2,하상장애인복지관,02-451-6000
서울특별시 강남구 광평로 270,37.48738773,127.101893,수서역 상가(미샤) 공중전화 부근,2,수서역,02-6110-3491
서울특별시 강남구 광평로 301-4,37.48890229,127.104955,수서동 주민센터 민원실,2,수서동 주민센터,02-3423-8563
서울특별시 강남구 광평로 51길 49,37.491481,127.100531,수서명화종합사회복지관 1층 주 출입구 좌측 내부,2,수서명화종합사회복지관,02-459-2696
서울특별시 강남구 광평로 56길 11,37.487407,127.105211,수서6단지관리사무소 통합경비실,2,수서6단지관리사무소,02-3411-3409
서울특별시 강남구 논현로 98길 16,37.503611,127.036971,충현복지관 입구,2,충현복지관,02-2192-0600
서울특별시 강남구 도곡로 43길 25,37.495974,127.046801,역삼2동 주민센터 민원실,2,역삼2동 주민센터,02-3423-7394
서울특별시 강남구 밤고개로 286,37.46904954,127.106923,세곡동 주민센터 1층,2,세곡동 주민센터,02-3423-8662
서울특별시 강남구 봉은사로 419,37.51120565,127.0459755,삼성2동 문화센터 1층 엘리베이터 앞,2,삼성2동 주민센터,02-3423-8243
서울특별시 강남구 삼성로 628,37.51590994,127.0521409,강남노인종합복지관 1층 카페 통로측,2,강남노인종합복지관,070-8031-2387
서울특별시 강남구 압구정로 33길 48,37.53057,127.030658,압구정동 주민센터 1층 민원실,2,압구정동 주민센터,02-3423-7613
서울특별시 강남구 압구정로 79길 26,37.52509058,127.049244,청담동 주민센터 1층 민원실,2,청담동 주민센터,02-3423-7718
서울특별시 강남구 양재대로 55길 14,37.491809,127.0880284,일원1동 주민센터 민원실,2,일원1동 주민센터,02-3423-8364
서울특별시 강남구 역삼로 7길 16,37.495369,127.0332825,역삼1동 주민센터 1층,2,역삼1동 주민센터,02-3423-8613
서울특별시 강남구 영동대로 65길 24,37.50230604,127.0641871,대치2동 주민센터 1층,2,대치2동 주민센터,02-3423-8413
